	LP01	LP02	LP03	LP04	LP05	LP06	LP07	LP08	LP09	LP10	LP11	LP12	LP13	LP14	LP15	LP16	LP17	LP18	LP19	LP20	LP21	LP22	LP23	LP24	LP25	LP26	LP27	LP28	LP29	LP30	LP31	LP32	LP33	LP34	LP35	LP36	LP37	LP38	LP39	LP40	LP41	LP42	LP43	LP44	LP45	LP46	LP47	LP48	LP49	LP50	LP51	LP52	LP53	LP54	LP55	LP56	LP57	LP58	LP59	LP60	LP61	LP62	LP63	LP64	LP65	LP66	LP67	LP68	LP69	LP70	B1P	B21	B21P	B22	B22P	B23	B23P	B24	B24P	B25	B25P	B26	B26P	B27	B27P	B28	B2P	B31	B31P	B32	B32P	B33	B33P	B34	B34P	B35	B35P	B36	B36P	B37	B3P	B41	B41P	B42	B42P	B43	B43P	B44	B45	B45P	B46	B46P	B47P	B48	B48P	A1	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	C1	C2	C3	C4	C5	C6	C7
[Eubacterium]_nodatum_group	0	0	6	0	0	5	0	0	0	0	13	6	6	11	0	27	27	3	23	15	18	0	12	26	25	32	0	7	6	6	0	0	0	0	0	0	0	21	0	0	5	9	20	7	13	0	21	26	49	13	0	22	48	0	52	0	0	109	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_oxidoreducens_group	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	14	59	34	26	22	28	0	0	0	0	0	0	47	0	0	0	0	13	0	0	0	0	0	0	0	19	39	16	99	30	0	30	0	0	51	0	14	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_ruminantium_group	0	0	0	0	0	6	0	0	0	35	0	17	0	0	0	0	0	0	9	0	17	24	0	0	0	20	0	33	25	16	16	0	0	0	0	0	0	23	41	0	31	19	41	35	28	0	21	0	42	15	9	22	5	0	6	0	0	56	0	42	0	0	4	71	0	20	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_siraeum_group	0	0	0	0	0	0	29	0	0	12	0	0	0	0	0	48	14	11	0	14	11	31	10	0	13	0	0	80	0	19	5	5	0	0	0	25	0	0	46	0	13	16	23	18	17	5	7	24	26	0	21	0	94	13	0	0	0	61	8	15	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_ventriosum_group	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Eubacterium]_xylanophilum_group	36	5	43	0	8	6	15	0	22	26	4	52	15	13	9	0	0	0	29	0	38	31	75	11	15	28	18	0	10	8	101	15	30	0	24	72	4	27	0	15	30	16	57	12	15	20	27	12	25	52	27	30	41	32	25	0	0	218	47	0	0	0	13	33	6	0	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_gauvreauii_group	15	0	0	0	0	0	0	0	0	0	8	0	0	14	0	10	0	7	0	0	18	0	0	0	7	0	0	0	0	0	12	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	21	0	39	0	0	0	0	11	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_gnavus_group	0	0	14	0	0	0	8	0	0	10	11	36	44	167	334	16620	8950	1708	264	2969	48	91	18	43	59	43	123	0	806	76	12	0	0	0	51	19	0	0	0	0	0	0	0	0	0	17	67	701	26	37	0	0	0	16	0	0	0	0	0	0	216	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
[Ruminococcus]_torques_group	86	59	8	0	12	0	55	0	10	52	9	0	17	16	0	183	117	47	28	19	13	0	0	0	54	0	8	46	102	151	59	33	92	27	52	86	0	82	13	0	141	132	230	147	106	94	5	0	38	20	9	18	0	46	0	0	0	112	0	160	38	29	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0319-6G20	10	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	27	0	10	0	0	0	6	7	0	0	0	0	10	34	0	0	0	19	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
