,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64,B65,B66,B67,B68,B69,B70
2e2aa7397d3da6ad602eac5d2791a23f,0,0,8,0,0,0,5,0,0,5,5,32,17,92,49,2080,1436,1111,131,1143,20,17,8,14,26,23,30,0,229,18,4,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,38,334,13,0,0,0,0,11,0,0,0,0,0,0,186,16,0,0,0,0,0,0,0,0
5c822609858a73c1a76ce47952502e70,14,7,31,0,0,6,9,0,19,6,18,139,36,67,0,0,0,120,140,119,141,54,150,136,80,160,29,235,373,364,37,0,0,0,38,10,0,12,0,1,385,379,393,479,393,154,117,106,204,88,301,58,262,63,48,51,0,396,451,395,50,26,1,156,3,4,6,2,3,8
c3601e20117dcd1fb267e0d9a5142a2c,248,132,341,3,24,107,427,3,74,120,16,17,29,20,18,0,0,0,7,10,0,23,0,16,10,5,0,0,0,0,372,249,195,218,228,167,5,286,355,23,7,3,1,6,0,0,35,0,26,11,45,24,7,76,1486,76,2,243,241,11,405,22,0,44,6,0,2,0,0,2
3efa61ad4db20424214d771e46ff8064,56,9,39,0,0,26,86,6,31,3,109,92,62,119,0,386,495,89,212,112,110,93,62,75,52,45,10,178,304,292,24,3,89,11,47,0,1,36,5,7,337,343,286,318,330,72,66,74,21,53,58,108,53,161,107,3,1,178,175,271,53,39,2,133,6,5,4,1,2,3
a4e7b78a9e6cf24de6c0621451adb646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,29,1058,83,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473c254153e87c7ab787d19dadad52ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,12,41,11,7,917,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cf09ee5f94d0a424c5369fb953b9ed88,18,14,103,0,3,59,103,4,57,44,11,62,26,0,0,62,105,37,48,49,44,25,31,18,24,23,11,104,209,227,50,43,20,59,174,19,1,30,38,2,203,240,235,236,230,40,53,97,81,24,92,32,99,55,133,10,2,113,120,244,11,0,1,216,5,1,6,3,1,3
b1e119e0b7fcdd163d48d438bfa842dd,43,21,10,0,2,3,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25,10,16,0,20,1,15,24,2,2,0,0,0,0,5,0,0,0,11,0,28,6,0,0,13,0,0,0,0,54,0,0,13,0,0,0,0,26,911
13f4f4618bfaab5d00e5c043e37244cb,27,28,75,0,8,17,49,4,13,34,9,0,19,33,142,0,0,19,460,15,27,0,9,44,13,92,0,3,0,44,79,61,9,48,28,20,2,92,69,0,0,0,0,0,4,13,13,31,17,153,66,126,727,108,64,189,19,173,356,13,62,126,0,24,0,0,1,0,0,0
3b45b5b02de774abea6dffb8cf72fb2a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,21,0,0,0,0,0,2,0,0,0,84,0,0,28,0,0,0,0,263,671
cc49d7121cd854a34924bcda8e0317a3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,37
b56e249cb00f49b84b0f019368a1b62d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,3,0,0,0,218,333,299,0,0,0,0,0,0,0,0,0,0,323,299,291,290,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0
113c5c352faf577edd085aa130ecd238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,4,0,0,6,0,0,0,1,3,1,4,0,3,8,0,8,29,19,0,0,0,0,0,0,0,0,128,0,0,11,0,0,0,0,0,657
78073ac98317d208dc99c99ea29e32a1,138,150,232,4,30,90,227,0,118,89,0,0,0,0,0,0,0,0,0,0,0,11,0,86,0,0,0,0,0,0,300,186,181,170,91,129,0,297,129,19,0,0,0,0,0,0,0,0,0,9,0,28,5,0,126,99,1,0,0,0,70,0,0,0,0,0,0,0,0,0
ceafd6b22488217a7f7e3711e0c5316f,50,14,27,0,6,17,37,9,29,0,20,16,36,25,0,12,33,16,0,12,34,21,33,16,24,0,0,106,128,146,28,11,28,23,6,12,0,31,24,4,153,143,134,156,142,18,37,33,27,0,58,50,69,41,23,0,4,68,90,110,0,19,2,133,3,0,3,2,5,5
e2585240b6d67f388d2520901097e463,33,52,79,0,0,25,38,3,43,73,0,0,47,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,99,56,71,64,42,41,0,34,38,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,180,138,26,0,0,0,0,0,0,17,0,0,0,0,0,0
18f59f97044250bc48873fa768a24b1e,10,9,12,0,0,0,0,0,0,2,0,0,6,38,40,526,494,380,42,301,10,5,0,0,0,18,60,0,88,7,9,0,0,0,0,17,0,0,8,0,0,0,0,0,0,0,0,134,0,26,0,0,0,32,6,8,0,0,0,0,31,0,0,0,0,0,0,0,0,0
b524984ce7386b778b122149cbfdf126,0,5,4,0,0,0,2,0,16,0,43,225,54,35,0,0,0,89,161,78,218,181,203,139,125,442,48,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,144,191,205,270,144,20,0,17,0,0,9,0,130,135,4,0,0,0,24,0,0,0,0,0,0
a5087b72391105e35fad509c9a2ed4e1,31,50,30,0,2,36,39,0,1143,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,68,92,59,28,122,0,53,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,58,0,0,0,0,0,0,0,0,0,0,0
5f7366fd49492a3864fb8f9ea83bbf83,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,473
4223b8d6bbcac687b2f7869e63676aa6,0,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,9,6,0,0,0,3,0,0,0,16,0,0,13,0,0,0,0,135,390
d7e97bdbb40c9732969f497f124fca25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,56,162,177,0,0,0,0,0,0,0,0,0,0,201,193,153,204,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0
ecb62998a58e658989e3cb55f5561d0e,12,1,0,0,0,0,2,0,11,1,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,7,0,94,110,178,18,8,11,14,11,8,0,22,18,4,172,140,122,170,143,0,0,0,7,0,7,4,52,15,0,0,0,16,23,146,3,6,0,2,0,0,0,1,2,2
57a7ae0bdd711fb20a81f00b3cbadaf6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,0,395
b0539b296265399cf1bbd0f1319aed2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,374,254,31,294,0,12,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,88,0,14,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
7fde62079e3adc5e8c34c295f214e96b,0,8,9,0,0,4,0,0,0,0,9,122,32,55,0,0,0,19,42,19,43,64,73,32,45,68,20,28,53,82,9,0,0,0,3,0,0,0,0,0,75,57,51,81,82,44,99,41,80,64,98,20,38,13,0,15,0,59,86,87,0,0,0,46,0,4,1,1,0,2
0559047b602f2c458b3cb0879bf2bbe4,14,0,39,0,1,6,11,0,9,6,24,53,14,23,0,69,42,167,59,55,84,51,53,52,45,58,12,19,35,39,26,0,0,7,7,45,0,0,0,0,26,35,37,32,43,66,87,95,65,55,88,53,27,100,24,0,0,43,33,42,27,10,0,25,0,0,6,0,8,0
cc631a887b74e89d1dde71ac5b28c4ac,0,0,0,0,0,0,0,417,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,1,0,0,4,0,0,0,0,0,15
c8d48b7032fab7d6e57f1dca30df86e6,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,76,48,17,136,36,0,0,74,92,3,0,0,14,1193,10,11,21,11,0,18
05559ce8be868ee1206bc61dae2d21f2,0,0,17,0,0,0,4,0,10,0,0,0,8,70,77,259,274,201,25,193,0,23,0,0,15,0,46,0,48,5,9,8,0,27,0,16,0,3,11,0,0,0,0,0,0,0,21,80,0,23,0,0,0,0,0,0,2,0,0,0,25,18,0,11,0,0,0,0,0,0
15f031bdec4e7a18df2a3271d3af0149,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
b3a78bb702a3ffb4489e1a4613dc7658,0,0,0,0,0,0,0,0,0,0,726,180,52,136,8,1,0,8,14,18,19,11,11,49,66,28,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,13,27,45,0,0,2,0,0,0,0,0,0,0,188,1323,1,0,0,0,0,0,0,0
647d8b8558456d6b45fc34c42a26077e,9,6,1,0,2,2,0,385,0,3,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,41,0,1,0,0,0,6,8,0,0,0,0,0,0,0,7
437ce1929ca8088e715cbfc4c66756c3,10,18,11,0,21,26,12,2,6,15,0,0,0,0,16,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,29,14,23,10,4,44,0,19,31,2,0,0,0,0,0,0,28,0,0,0,0,0,14,37,91,77,7,0,0,0,88,298,10,40,40,59,7,0,5,2
81761323d2ed6e57b11df58b8ce6d3e7,3,6,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3,24,0,0,0,0,4,0,349,0,0,0,0,0,0,0
c4abfab1632767bf94e552e30f792822,18,68,0,0,16,24,27,0,220,46,9,0,32,24,4,0,6,7,38,29,20,8,26,7,89,28,13,0,2,3,25,24,27,14,36,73,6,23,11,0,0,3,2,1,0,14,58,26,86,22,66,40,4,110,53,39,8,0,5,0,128,20,0,63,2,0,4,0,0,2
9ad95dc3e3a41d9779f7c6efaf6ac077,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868c962f63c1b722090246b578bec7d1,4,0,5,0,17,0,11,287,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,10,20,3,0,0,0,0,4,0,5,0,0,0,0,0,0
26adfaacee109c2f5b381d3de2528770,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,8,0,0,0,0,0,18,0,0,7,0,0,0,0,229,169
26e40e04b63fcf7664a824ae33f44d92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
46282acc23e6bcb18990b1366d0d2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,5,0,3,0,0,0,0,52,147,142,0,0,0,0,0,0,0,0,0,0,141,137,109,112,101,0,0,3,0,0,0,0,0,0,0,0,0,0,0,133,8,0,0,5,0,3,0,0,0,0
1ee76803b366239614c5ec7b770b4f2d,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,50,123,109,0,0,0,0,0,0,0,0,0,0,111,123,99,162,129,0,0,0,0,0,0,0,20,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0
664b1ab81f75cb80763fec6b9b548caf,0,11,0,0,0,0,9,0,0,0,0,40,30,23,0,0,0,0,49,31,40,43,40,31,14,11,7,40,49,53,16,19,0,0,0,0,0,13,0,0,62,45,52,53,39,26,76,74,34,60,56,21,33,0,13,0,0,66,51,55,0,0,0,30,0,0,0,0,0,1
77b4e28f3e13ee94284f66e8feef77e4,0,0,3,0,0,5,0,1,2,5,0,37,11,26,1,5,14,25,33,3,27,28,17,10,32,26,16,2,11,11,9,11,20,0,4,0,0,4,9,1,5,8,10,9,11,6,9,37,56,14,42,59,57,99,78,10,0,22,20,11,171,0,2,306,5,8,9,4,0,3
3a7cbeefe08b779c1a4d660cc1866346,88,59,86,0,2,13,46,0,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,100,17,41,43,30,0,74,118,8,0,2,5,0,0,0,0,0,0,0,0,0,0,0,32,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0
